,zerohop,onehop,twohop,connecting
0,"[['/m/01ync', 'appears in draft picks', '/m/02x2khw']]","[['/m/02lyr4', 'sports teams with this position', '/m/01ync'], ['/m/01ync', 'school of draft pick', '/m/021w0_'], ['/m/01ync', 'position played on baseball team', '/m/028c_8'], ['/m/05g76', 'appears in draft picks', '/m/02x2khw'], ['/m/07l4z', 'appears in draft picks', '/m/02x2khw'], ['/m/0512p', 'appears in draft picks', '/m/02x2khw']]","[['/m/05xvj', 'position played on baseball team', '/m/02lyr4'], ['/m/02lyr4', 'sports teams with this position', '/m/0512p'], ['/m/02lyr4', 'sports teams with this position', '/m/05m_8'], ['/m/01ync', 'appears in draft picks', '/m/02z6872'], ['/m/01ync', 'sports team official color', '/m/03vtbc'], ['/m/01ync', 'sports team official color', '/m/019sc'], ['/m/028c_8', 'sports teams with this position', '/m/01yhm'], ['/m/028c_8', 'sports teams with this position', '/m/0x2p'], ['/m/028c_8', 'sports teams with this position', '/m/07147'], ['/m/028c_8', 'sports teams with this position', '/m/05g76'], ['/m/02lyr4', 'sports teams with this position', '/m/05g76'], ['/m/05g76', 'appears in draft picks', '/m/02rl201'], ['/m/01d6g', 'appears in draft picks', '/m/02x2khw'], ['/m/051vz', 'appears in draft picks', '/m/02x2khw'], ['/m/07l4z', 'school of draft pick', '/m/012vwb'], ['/m/07l4z', 'participated in baseball season', '/m/025ygws'], ['/m/07l4z', 'school of draft pick', '/m/06fq2'], ['/m/0512p', 'participated in baseball season', '/m/0285r5d'], ['/m/0fpzwf', 'sports teams headquatered here', '/m/0512p'], ['/m/0512p', 'appears in draft picks', '/m/047dpm0'], ['/m/02x2khw', 'draft pick includes ', '/m/06pwq']]","[['/m/05m_8', 'appears in draft picks', '/m/02x2khw'], ['/m/028c_8', 'sports teams with this position', '/m/01ync'], ['/m/01yhm', 'appears in draft picks', '/m/02x2khw'], ['/m/07147', 'appears in draft picks', '/m/02x2khw']]"
1,"[['/m/051q5', 'appears in draft picks', '/m/092j54']]","[['/m/051q5', 'position currently played on american football team', '/m/01_9c1'], ['/m/051q5', 'position historically played on football team', '/m/02g_6j'], ['/m/051q5', 'position currently played on american football team', '/m/05zm34'], ['/m/092j54', 'draft pick includes ', '/m/0trv'], ['/m/03wnh', 'appears in draft picks', '/m/092j54'], ['/m/05g3v', 'appears in draft picks', '/m/092j54']]","[['/m/051q5', 'position historically played on football team', '/m/02g_6x'], ['/m/051q5', 'position played on football team', '/m/02g_6x'], ['/m/03b3j', 'position historically played on football team', '/m/01_9c1'], ['/m/01_9c1', 'historical roster position', '/m/05zm34'], ['/m/023wyl', 'roster position', '/m/01_9c1'], ['/m/051q5', 'position currently played on american football team', '/m/047g8h'], ['/m/043vc', 'position currently played on american football team', '/m/02g_6j'], ['/m/02g_6j', 'sports teams with this position', '/m/01jv_6'], ['/m/02g_6j', 'sports teams with this position', '/m/01y49'], ['/m/026cmdc', 'position currently played on american football team', '/m/05zm34'], ['/m/05zm34', 'sports teams with this position', '/m/04ls81'], ['/m/05g3b', 'appears in draft picks', '/m/092j54'], ['/m/03lsq', 'appears in draft picks', '/m/092j54'], ['/m/092j54', 'draft pick includes ', '/m/01j_cy'], ['/m/03wnh', 'school of draft pick', '/m/01pl14'], ['/m/03wnh', 'position played on football team', '/m/08ns5s'], ['/m/03wnh', 'position currently played on american football team', '/m/02g_7z'], ['/m/05g3v', 'position currently played on american football team', '/m/023wyl'], ['/m/05g3v', 'webpage category', '/m/08mbj5d'], ['/m/01_9c1', 'sports teams with this position', '/m/05g3v']]","[['/m/01_9c1', 'sports teams with this position', '/m/051q5'], ['/m/03b3j', 'appears in draft picks', '/m/092j54'], ['/m/05zm34', 'sports teams with this position', '/m/051q5'], ['/m/023wyl', 'sports teams with this position', '/m/051q5'], ['/m/043vc', 'appears in draft picks', '/m/092j54'], ['/m/02g_6j', 'sports teams with this position', '/m/051q5'], ['/m/08ns5s', 'sports teams with this position', '/m/051q5']]"
2,"[['/m/0bwjj', 'appears in draft picks', '/m/09th87']]","[['/m/0bwjj', 'position played on baskteball team', '/m/02sf_r'], ['/m/0ctt4z', 'sports teams with this position', '/m/0bwjj'], ['/m/0bwjj', 'school of draft pick', '/m/0l2tk'], ['/m/09th87', 'draft pick includes ', '/m/02y9bj'], ['/m/0jm74', 'appears in draft picks', '/m/09th87'], ['/m/0jmm4', 'appears in draft picks', '/m/09th87']]","[['/m/0bwjj', 'sports team official color', '/m/083jv'], ['/m/02sf_r', 'sports teams with this position', '/m/0bwjj'], ['/m/02sf_r', 'sports teams with this position', '/m/0jm2v'], ['/m/0jmmn', 'position played on baskteball team', '/m/02sf_r'], ['/m/02sf_r', 'sports teams with this position', '/m/0jmjr'], ['/m/02ptzz0', 'position played on baskteball team', '/m/0ctt4z'], ['/m/0ctt4z', 'sports teams with this position', '/m/02r2qt7'], ['/m/027yf83', 'position played on baskteball team', '/m/0ctt4z'], ['/m/0bwjj', 'appears in draft picks', '/m/038981'], ['/m/09th87', 'draft pick includes ', '/m/0dzst'], ['/m/0jm74', 'school of draft pick', '/m/07w0v'], ['/m/0jm74', 'school of draft pick', '/m/01jssp'], ['/m/01pv51', 'sports teams with this position', '/m/0jm74'], ['/m/09th87', 'draft pick includes ', '/m/01j_5k'], ['/m/0jmm4', 'school of draft pick', '/m/078bz'], ['/m/03558l', 'sports teams with this position', '/m/0jmm4'], ['/m/02sf_r', 'sports teams with this position', '/m/0jmm4'], ['/m/0jml5', 'appears in draft picks', '/m/09th87']]","[['/m/0jmmn', 'appears in draft picks', '/m/09th87'], ['/m/0jmjr', 'appears in draft picks', '/m/09th87'], ['/m/01pv51', 'sports teams with this position', '/m/0bwjj'], ['/m/03558l', 'sports teams with this position', '/m/0bwjj']]"
3,"[['/m/0jmj7', 'appears in draft picks', '/m/09th87']]","[['/m/0jmj7', 'school of draft pick', '/m/01qrb2'], ['/m/0jmj7', 'school of draft pick', '/m/01stj9'], ['/m/0jmj7', 'school of draft pick', '/m/03v6t'], ['/m/09th87', 'draft pick includes ', '/m/02y9bj'], ['/m/0jm74', 'appears in draft picks', '/m/09th87'], ['/m/0jmm4', 'appears in draft picks', '/m/09th87']]","[['/m/0jmj7', 'school of draft pick', '/m/03wv2g'], ['/m/0jmj7', 'school of draft pick', '/m/01q0kg'], ['/m/0jmj7', 'school of draft pick', '/m/01jt2w'], ['/m/09th87', 'draft pick includes ', '/m/0dzst'], ['/m/0jm74', 'school of draft pick', '/m/07w0v'], ['/m/0jm74', 'school of draft pick', '/m/01jssp'], ['/m/01pv51', 'sports teams with this position', '/m/0jm74'], ['/m/09th87', 'draft pick includes ', '/m/01j_5k'], ['/m/0jmm4', 'school of draft pick', '/m/078bz'], ['/m/03558l', 'sports teams with this position', '/m/0jmm4'], ['/m/02sf_r', 'sports teams with this position', '/m/0jmm4'], ['/m/0jml5', 'appears in draft picks', '/m/09th87']]","[['/m/03558l', 'sports teams with this position', '/m/0jmj7'], ['/m/02sf_r', 'sports teams with this position', '/m/0jmj7']]"
4,"[['/m/06wpc', 'appears in draft picks', '/m/02pq_x5']]","[['/m/06wpc', 'school of draft pick', '/m/029qzx'], ['/m/06wpc', 'school of draft pick', '/m/0f1nl'], ['/m/06wpc', 'position played on baseball team', '/m/028c_8'], ['/m/02pq_x5', 'draft pick includes ', '/m/06pwq'], ['/m/02pq_x5', 'draft pick includes ', '/m/0jkhr'], ['/m/01ync', 'appears in draft picks', '/m/02pq_x5']]","[['/m/028c_8', 'sports teams with this position', '/m/06wpc'], ['/m/06wpc', 'position played on baseball team', '/m/02wszf'], ['/m/028c_8', 'sports teams with this position', '/m/07l8x'], ['/m/04wmvz', 'position played on baseball team', '/m/028c_8'], ['/m/028c_8', 'sports teams with this position', '/m/02d02'], ['/m/0x2p', 'appears in draft picks', '/m/02pq_x5'], ['/m/02pq_x5', 'draft pick includes ', '/m/0lyjf'], ['/m/01ync', 'school of draft pick', '/m/06pwq'], ['/m/0512p', 'school of draft pick', '/m/06pwq'], ['/m/01ync', 'appears in draft picks', '/m/02z6872'], ['/m/01ync', 'school of draft pick', '/m/021w0_'], ['/m/01ync', 'position played on baseball team', '/m/028c_8'], ['/m/02pq_x5', 'draft pick includes ', '/m/021w0_']]","[['/m/07l8x', 'appears in draft picks', '/m/02pq_x5'], ['/m/02d02', 'appears in draft picks', '/m/02pq_x5'], ['/m/0512p', 'appears in draft picks', '/m/02pq_x5']]"
5,"[['/m/01d6g', 'appears in draft picks', '/m/047dpm0']]","[['/m/01d6g', 'position played on baseball team', '/m/02wszf'], ['/m/01z9v6', 'sports teams with this position', '/m/01d6g'], ['/m/01d6g', 'participated in baseball season', '/m/03c6sl9'], ['/m/01slc', 'appears in draft picks', '/m/047dpm0'], ['/m/061xq', 'appears in draft picks', '/m/047dpm0'], ['/m/04mjl', 'appears in draft picks', '/m/047dpm0']]","[['/m/01d6g', 'participated in baseball season', '/m/027pwzc'], ['/m/04913k', 'position played on baseball team', '/m/02wszf'], ['/m/02hfgl', 'position played on baseball team', '/m/02wszf'], ['/m/02wszf', 'sports teams with this position', '/m/03m1n'], ['/m/021f30', 'position played on baseball team', '/m/01z9v6'], ['/m/049n7', 'position played on baseball team', '/m/01z9v6'], ['/m/01yhm', 'position played on baseball team', '/m/01z9v6'], ['/m/01d6g', 'participated in baseball season', '/m/0dx84s'], ['/m/01d6g', 'position played on baseball team', '/m/02lyr4'], ['/m/04wmvz', 'participated in baseball season', '/m/03c6sl9'], ['/m/01slc', 'participated in baseball season', '/m/03c6sl9'], ['/m/02wszf', 'sports teams with this position', '/m/01slc'], ['/m/01slc', 'webpage category', '/m/08mbj5d'], ['/m/01slc', 'participated in baseball season', '/m/026fmqm'], ['/m/07147', 'appears in draft picks', '/m/047dpm0'], ['/m/01d5z', 'appears in draft picks', '/m/047dpm0'], ['/m/061xq', 'participated in baseball season', '/m/03c6sl9'], ['/m/061xq', 'sports team official color', '/m/01l849'], ['/m/061xq', 'participated in baseball season', '/m/05kcgsf'], ['/m/02d02', 'appears in draft picks', '/m/047dpm0'], ['/m/04mjl', 'participated in baseball season', '/m/026fmqm'], ['/m/04mjl', 'school of draft pick', '/m/02fgdx'], ['/m/04mjl', 'participated in baseball season', '/m/025ygqm']]","[['/m/02wszf', 'sports teams with this position', '/m/01d6g'], ['/m/03m1n', 'appears in draft picks', '/m/047dpm0'], ['/m/049n7', 'appears in draft picks', '/m/047dpm0'], ['/m/01yhm', 'appears in draft picks', '/m/047dpm0'], ['/m/04wmvz', 'appears in draft picks', '/m/047dpm0']]"
6,"[['/m/070xg', 'appears in draft picks', '/m/09l0x9']]","[['/m/047g8h', 'sports teams with this position', '/m/070xg'], ['/m/070xg', 'position historically played on football team', '/m/02g_6j'], ['/m/023wyl', 'sports teams with this position', '/m/070xg'], ['/m/09l0x9', 'draft pick includes ', '/m/03tw2s'], ['/m/09l0x9', 'draft pick includes ', '/m/025v3k'], ['/m/06x76', 'appears in draft picks', '/m/09l0x9']]","[['/m/05tg3', 'position currently played on american football team', '/m/047g8h'], ['/m/04ls81', 'position currently played on american football team', '/m/047g8h'], ['/m/04vn5', 'position played on football team', '/m/047g8h'], ['/m/070xg', 'position played on football team', '/m/08ns5s'], ['/m/070xg', 'position played on football team', '/m/06b1q'], ['/m/043vc', 'position currently played on american football team', '/m/02g_6j'], ['/m/02g_6j', 'sports teams with this position', '/m/01y49'], ['/m/0fsb_6', 'position played on football team', '/m/023wyl'], ['/m/0289q', 'position currently played on american football team', '/m/023wyl'], ['/m/0bgv4g', 'roster position', '/m/023wyl'], ['/m/02g_7z', 'sports teams with this position', '/m/070xg'], ['/m/09l0x9', 'draft pick includes ', '/m/0frm7n'], ['/m/03lsq', 'appears in draft picks', '/m/09l0x9'], ['/m/01y49', 'appears in draft picks', '/m/09l0x9'], ['/m/06x76', 'position historically played on football team', '/m/02g_6x'], ['/m/06wxw', 'sports teams headquatered here', '/m/06x76'], ['/m/06x76', 'position played on football team', '/m/08ns5s']]","[['/m/05tg3', 'appears in draft picks', '/m/09l0x9'], ['/m/04vn5', 'appears in draft picks', '/m/09l0x9'], ['/m/043vc', 'appears in draft picks', '/m/09l0x9'], ['/m/0289q', 'appears in draft picks', '/m/09l0x9'], ['/m/02g_6x', 'sports teams with this position', '/m/070xg']]"
7,"[['/m/05l71', 'appears in draft picks', '/m/092j54']]","[['/m/05l71', 'appears in draft picks', '/m/02qw1zx'], ['/m/05l71', 'school of draft pick', '/m/0fht9f'], ['/m/05l71', 'position played on football team', '/m/02g_6x'], ['/m/092j54', 'draft pick includes ', '/m/0trv'], ['/m/03wnh', 'appears in draft picks', '/m/092j54'], ['/m/05g3v', 'appears in draft picks', '/m/092j54']]","[['/m/05l71', 'position historically played on football team', '/m/02qpbqj'], ['/m/0289q', 'appears in draft picks', '/m/02qw1zx'], ['/m/043vc', 'appears in draft picks', '/m/02qw1zx'], ['/m/05l71', 'position historically played on football team', '/m/05zm34'], ['/m/05l71', 'position historically played on football team', '/m/0bgv8y'], ['/m/0fht9f', 'position historically played on football team', '/m/01r3hr'], ['/m/0fht9f', 'position played on football team', '/m/01_9c1'], ['/m/05g3b', 'appears in draft picks', '/m/092j54'], ['/m/03lsq', 'appears in draft picks', '/m/092j54'], ['/m/092j54', 'draft pick includes ', '/m/01j_cy'], ['/m/03wnh', 'school of draft pick', '/m/01pl14'], ['/m/03wnh', 'position played on football team', '/m/08ns5s'], ['/m/03wnh', 'position currently played on american football team', '/m/02g_7z'], ['/m/05g3v', 'position currently played on american football team', '/m/023wyl'], ['/m/05g3v', 'webpage category', '/m/08mbj5d'], ['/m/01_9c1', 'sports teams with this position', '/m/05g3v']]","[['/m/0289q', 'appears in draft picks', '/m/092j54'], ['/m/043vc', 'appears in draft picks', '/m/092j54'], ['/m/01r3hr', 'sports teams with this position', '/m/05l71'], ['/m/01_9c1', 'sports teams with this position', '/m/05l71'], ['/m/02g_7z', 'sports teams with this position', '/m/05l71'], ['/m/023wyl', 'sports teams with this position', '/m/05l71']]"
8,"[['/m/02d02', 'appears in draft picks', '/m/047dpm0']]","[['/m/02d02', 'school of draft pick', '/m/0bx8pn'], ['/m/02d02', 'school of draft pick', '/m/01pl14'], ['/m/02d02', 'school of draft pick', '/m/02pptm'], ['/m/01slc', 'appears in draft picks', '/m/047dpm0'], ['/m/061xq', 'appears in draft picks', '/m/047dpm0'], ['/m/04mjl', 'appears in draft picks', '/m/047dpm0']]","[['/m/02d02', 'participated in baseball season', '/m/025ygqm'], ['/m/02d02', 'participated in baseball season', '/m/026fmqm'], ['/m/02d02', 'participated in baseball season', '/m/027mvrc'], ['/m/02wszf', 'sports teams with this position', '/m/01slc'], ['/m/01slc', 'webpage category', '/m/08mbj5d'], ['/m/01slc', 'participated in baseball season', '/m/026fmqm'], ['/m/07147', 'appears in draft picks', '/m/047dpm0'], ['/m/01d5z', 'appears in draft picks', '/m/047dpm0'], ['/m/061xq', 'participated in baseball season', '/m/03c6sl9'], ['/m/061xq', 'sports team official color', '/m/01l849'], ['/m/061xq', 'participated in baseball season', '/m/05kcgsf'], ['/m/04mjl', 'participated in baseball season', '/m/026fmqm'], ['/m/04mjl', 'school of draft pick', '/m/02fgdx'], ['/m/04mjl', 'participated in baseball season', '/m/025ygqm']]","[['/m/02wszf', 'sports teams with this position', '/m/02d02']]"
9,"[['/m/0jm7n', 'appears in draft picks', '/m/038c0q']]","[['/m/0jm7n', 'school of draft pick', '/m/078bz'], ['/m/0jm7n', 'position played on baskteball team', '/m/0ctt4z'], ['/m/03558l', 'sports teams with this position', '/m/0jm7n'], ['/m/038c0q', 'draft pick includes ', '/m/07w0v'], ['/m/0jmj7', 'appears in draft picks', '/m/038c0q'], ['/m/038c0q', 'draft pick includes ', '/m/01jpqb']]","[['/m/0jm7n', 'appears in draft picks', '/m/09th87'], ['/m/0jmj7', 'school of draft pick', '/m/078bz'], ['/m/02ptzz0', 'position played on baskteball team', '/m/0ctt4z'], ['/m/03d5m8w', 'position played on baskteball team', '/m/0ctt4z'], ['/m/027yf83', 'position played on baskteball team', '/m/0ctt4z'], ['/m/03558l', 'sports teams with this position', '/m/0jmcv'], ['/m/0jm2v', 'position played on baskteball team', '/m/03558l'], ['/m/026dqjm', 'position played on baskteball team', '/m/03558l'], ['/m/0jm7n', 'sport', '/m/018w8'], ['/m/0jmnl', 'school of draft pick', '/m/07w0v'], ['/m/0jmj7', 'school of draft pick', '/m/01qrb2'], ['/m/0jmj7', 'school of draft pick', '/m/01stj9'], ['/m/0jmj7', 'school of draft pick', '/m/03v6t'], ['/m/0jmjr', 'appears in draft picks', '/m/038c0q']]","[['/m/0ctt4z', 'sports teams with this position', '/m/0jm7n'], ['/m/0jm2v', 'appears in draft picks', '/m/038c0q'], ['/m/0jmnl', 'appears in draft picks', '/m/038c0q']]"
