,zerohop,onehop,twohop,connecting
0,"[['/m/07g9f', 'tv program genre', '/m/0fdjb']]","[['/m/07g9f', 'tv program genre', '/m/07s9rl0'], ['/m/03y9ccy', 'screenwriter of', '/m/07g9f'], ['/m/0blt6', 'screenwriter of', '/m/07g9f'], ['/m/0dcz8_', 'film genre', '/m/0fdjb'], ['/m/02x8fs', 'film genre', '/m/0fdjb'], ['/m/0ds11z', 'film genre', '/m/0fdjb']]","[['/m/0cqhb3', 'nomination', '/m/07g9f'], ['/m/03y9ccy', 'nominated alongside', '/m/07lwsz'], ['/m/03y9ccy', 'nominated alongside', '/m/05fnl9'], ['/m/03y9ccy', 'nominated alongside', '/m/0b05xm'], ['/m/0ck27z', 'nomination', '/m/07g9f'], ['/m/0blt6', 'native language', '/m/04h9h'], ['/m/0blt6', 'occupation', '/m/03gjzk'], ['/m/0blt6', 'nominated for work', '/m/0124k9'], ['/m/03y9ccy', 'producer of', '/m/07g9f'], ['/m/0dcz8_', 'film story by', '/m/063b4k'], ['/m/02r_d4', 'cast member of', '/m/0dcz8_'], ['/m/0dcz8_', 'distribution medium', '/m/029j_'], ['/m/0d608', 'cast member of', '/m/02x8fs'], ['/m/02x8fs', 'film genre', '/m/06n90'], ['/m/02lf0c', 'director of', '/m/02x8fs'], ['/m/02wzl1d', 'award winning works', '/m/0ds11z'], ['/m/0ds11z', 'film editor', '/m/02qggqc'], ['/m/0bq3x', 'main subject of film', '/m/0ds11z'], ['/m/07s3m4g', 'film genre', '/m/0fdjb']]","[['/m/03y9ccy', 'nominated for work', '/m/07g9f'], ['/m/07lwsz', 'producer of', '/m/07g9f'], ['/m/07lwsz', 'nominated for work', '/m/07g9f'], ['/m/07lwsz', 'screenwriter of', '/m/07g9f'], ['/m/0b05xm', 'producer of', '/m/07g9f'], ['/m/0b05xm', 'nominated for work', '/m/07g9f'], ['/m/0blt6', 'nominated for work', '/m/07g9f']]"
1,"[['/m/05nlzq', 'tv program genre', '/m/095bb']]","[['/m/0488g9', 'nominated for work', '/m/05nlzq'], ['/m/05nlzq', 'tv program cast member', '/m/03vpf_'], ['/m/05nlzq', 'tv program cast member', '/m/029cpw'], ['/m/0170k0', 'tv program genre', '/m/095bb'], ['/m/03h3x5', 'film genre', '/m/095bb'], ['/m/024rwx', 'tv program genre', '/m/095bb']]","[['/m/0488g9', 'place of death', '/m/030qb3t'], ['/m/0488g9', 'residence', '/m/02_286'], ['/m/0488g9', 'occupation', '/m/01d_h8'], ['/m/05nlzq', 'tv program cast member', '/m/01d_4t'], ['/m/05nlzq', 'tv program genre', '/m/025s89p'], ['/m/043qqt5', 'tv program cast member', '/m/029cpw'], ['/m/0170k0', 'tv program genre', '/m/01htzx'], ['/m/0170k0', 'tv program genre', '/m/0lsxr'], ['/m/06jrhz', 'nominated for work', '/m/0170k0'], ['/m/086k8', 'distributor of', '/m/03h3x5'], ['/m/03h3x5', 'composer', '/m/0146pg'], ['/m/03h3x5', 'film producer', '/m/021yw7'], ['/m/07hpv3', 'tv program genre', '/m/095bb'], ['/m/024rwx', 'tv program genre', '/m/025s89p'], ['/m/0215n', 'films with this genre', '/m/024rwx'], ['/m/024rwx', 'tv program cast member', '/m/0q1lp'], ['/m/01hvv0', 'tv program genre', '/m/095bb']]","[['/m/043qqt5', 'tv program genre', '/m/095bb']]"
2,"[['/m/072kp', 'tv program genre', '/m/0c4xc']]","[['/m/072kp', 'nominee of work', '/m/0q9vf'], ['/m/0pyww', 'nominated for work', '/m/072kp'], ['/m/027gs1_', 'nomination', '/m/072kp'], ['/m/01h72l', 'tv program genre', '/m/0c4xc'], ['/m/030cx', 'tv program genre', '/m/0c4xc'], ['/m/0557yqh', 'tv program genre', '/m/0c4xc']]","[['/m/0fxky3', 'nominated for work', '/m/072kp'], ['/m/072kp', 'tv program cast member', '/m/02clgg'], ['/m/0q9vf', 'place of birth', '/m/0r04p'], ['/m/0pyww', 'award shared with', '/m/0q9vf'], ['/m/0q9vf', 'occupation', '/m/018gz8'], ['/m/0pyww', 'award received', '/m/09qj50'], ['/m/0pyww', 'country of citizenship', '/m/09c7w0'], ['/m/0pyww', 'place of birth', '/m/0cc56'], ['/m/0dbc1s', 'producer of', '/m/072kp'], ['/m/027gs1_', 'nomination', '/m/0431v3'], ['/m/0crx5w', 'award received', '/m/027gs1_'], ['/m/0l76z', 'award won', '/m/027gs1_'], ['/m/04s04', 'producer of', '/m/01h72l'], ['/m/02t_8z', 'nominated for work', '/m/01h72l'], ['/m/01h72l', 'tv program cast member', '/m/022s1m'], ['/m/02czd5', 'tv program genre', '/m/0c4xc'], ['/m/0124k9', 'tv program genre', '/m/0c4xc'], ['/m/0d68qy', 'tv program genre', '/m/0c4xc'], ['/m/030cx', 'tv program genre', '/m/01z4y'], ['/m/01pj3h', 'nominated for work', '/m/030cx'], ['/m/030cx', 'language of tv program', '/m/02h40lc'], ['/m/05gnf', 'aired tv programs', '/m/0557yqh'], ['/m/0557yqh', 'tv program creator', '/m/06jnvs'], ['/m/0557yqh', 'tv program cast member', '/m/03q45x']]","[['/m/0q9vf', 'nominated for work', '/m/072kp'], ['/m/0l76z', 'tv program genre', '/m/0c4xc'], ['/m/05gnf', 'nominated for work', '/m/072kp'], ['/m/05gnf', 'aired tv programs', '/m/072kp']]"
3,"[['/m/0q6g3', 'tv program genre', '/m/0hcr']]","[['/m/0q6g3', 'tv program cast member', '/m/03q64h'], ['/m/0q6g3', 'tv program genre', '/m/03k9fj'], ['/m/0q6g3', 'tv program genre', '/m/070yc'], ['/m/014mlp', 'conferred by', '/m/0hcr'], ['/m/0m63c', 'film genre', '/m/0hcr'], ['/m/02s62q', 'academic discipline', '/m/0hcr']]","[['/m/0q6g3', 'tv program genre', '/m/07s9rl0'], ['/m/0q6g3', 'tv program country of origin', '/m/03_3d'], ['/m/03q64h', 'cast member of', '/m/0436yk'], ['/m/014mlp', 'notable people with this academic degree', '/m/0kst7v'], ['/m/014mlp', 'conferred by', '/m/0193x'], ['/m/014mlp', 'notable people with this academic degree', '/m/02r34n'], ['/m/01hvjx', 'film genre', '/m/0hcr'], ['/m/043qqt5', 'tv program genre', '/m/0hcr'], ['/m/0m63c', 'film release regions', '/m/01ls2'], ['/m/0djywgn', 'cast member of', '/m/0m63c'], ['/m/0m63c', 'film release regions', '/m/0d05w3'], ['/m/0c1d0', 'contains the administrative territorial entity', '/m/02s62q'], ['/m/02s62q', 'headquarters citytown', '/m/0c1d0'], ['/m/06btq', 'contains the administrative territorial entity', '/m/02s62q'], ['/m/0g9yrw', 'film genre', '/m/0hcr']]","[['/m/0436yk', 'film genre', '/m/0hcr']]"
4,"[['/m/02v5xg', 'tv program genre', '/m/0hcr']]","[['/m/02v5xg', 'tv program cast member', '/m/01kwh5j'], ['/m/02v5xg', 'film country of origin', '/m/03_3d'], ['/m/02v5xg', 'tv program genre', '/m/02kdv5l'], ['/m/014mlp', 'conferred by', '/m/0hcr'], ['/m/043qqt5', 'tv program genre', '/m/0hcr'], ['/m/02s62q', 'academic discipline', '/m/0hcr']]","[['/m/02v5xg', 'tv program cast member', '/m/03ydry'], ['/m/02v5xg', 'tv program cast member', '/m/066l3y'], ['/m/01lk02', 'tv program cast member', '/m/01kwh5j'], ['/m/02v5xg', 'tv program country of origin', '/m/03_3d'], ['/m/014mlp', 'notable people with this academic degree', '/m/0kst7v'], ['/m/014mlp', 'conferred by', '/m/0193x'], ['/m/014mlp', 'notable people with this academic degree', '/m/02r34n'], ['/m/01hvjx', 'film genre', '/m/0hcr'], ['/m/02h758', 'aired tv programs', '/m/043qqt5'], ['/m/0dbpyd', 'nominated for work', '/m/043qqt5'], ['/m/043qqt5', 'tv program country of origin', '/m/09c7w0'], ['/m/0m63c', 'film genre', '/m/0hcr'], ['/m/0c1d0', 'contains the administrative territorial entity', '/m/02s62q'], ['/m/02s62q', 'headquarters citytown', '/m/0c1d0'], ['/m/06btq', 'contains the administrative territorial entity', '/m/02s62q'], ['/m/0g9yrw', 'film genre', '/m/0hcr']]","[['/m/01lk02', 'tv program genre', '/m/0hcr']]"
5,"[['/m/0h95b81', 'tv program genre', '/m/09lmb']]","[['/m/01zcrv', 'nominated for work', '/m/0h95b81'], ['/m/0h95b81', 'tv program country of origin', '/m/09c7w0'], ['/m/09lmb', 'films with this genre', '/m/0h95b81'], ['/m/0k0q73t', 'tv program genre', '/m/09lmb'], ['/m/02pvqmz', 'tv program genre', '/m/09lmb']]","[['/m/01zcrv', 'award shared with', '/m/061dn_'], ['/m/01zcrv', 'webpage category', '/m/08mbj5d'], ['/m/01zcrv', 'nominated for work', '/m/05fgr_'], ['/m/07c52', 'films with this genre', '/m/0h95b81'], ['/m/0h95b81', 'tv program producer type', '/m/0ckd1'], ['/m/09lmb', 'films with this genre', '/m/03czz87'], ['/m/03nnm4t', 'award winning works', '/m/0h95b81'], ['/m/0k0q73t', 'tv program cast member', '/m/015njf'], ['/m/0k0q73t', 'tv program cast member', '/m/01zmpg'], ['/m/0k0q73t', 'language of tv program', '/m/02h40lc'], ['/m/09lmb', 'films with this genre', '/m/07s8z_l'], ['/m/02pvqmz', 'tv program country of origin', '/m/07ssc'], ['/m/01f2w0', 'aired tv programs', '/m/02pvqmz']]","[['/m/01zcrv', 'films with this genre', '/m/0h95b81'], ['/m/01zcrv', 'aired tv programs', '/m/0h95b81'], ['/m/05fgr_', 'tv program genre', '/m/09lmb']]"
6,"[['/m/04sskp', 'tv program genre', '/m/01hmnh']]","[['/m/04sskp', 'tv program country of origin', '/m/07ssc'], ['/m/04sskp', 'tv program cast member', '/m/01trf3'], ['/m/04sskp', 'estimated budget currency', '/m/09nqf'], ['/m/0ckrgs', 'film genre', '/m/01hmnh'], ['/m/01hmnh', 'films with this genre', '/m/01c22t'], ['/m/012s1d', 'film genre', '/m/01hmnh']]","[['/m/09byk', 'cast member of', '/m/04sskp'], ['/m/04sskp', 'tv program cast member', '/m/09byk'], ['/m/01kyvx', 'film with this special performance', '/m/0ckrgs'], ['/m/0ckrgs', 'production company', '/m/0674hk'], ['/m/0cks1m', 'followed by', '/m/0ckrgs'], ['/m/02wgbb', 'film genre', '/m/01hmnh'], ['/m/01hmnh', 'films with this genre', '/m/026p4q7'], ['/m/017s11', 'distributor of', '/m/012s1d'], ['/m/012s1d', 'film crew role', '/m/09zzb8'], ['/m/0284n42', 'nominated for work', '/m/012s1d'], ['/m/01f3p_', 'tv program genre', '/m/01hmnh']]","[['/m/0cks1m', 'film genre', '/m/01hmnh']]"
7,"[['/m/019nnl', 'tv program genre', '/m/0c4xc']]","[['/m/019nnl', 'language of tv program', '/m/02h40lc'], ['/m/03jldb', 'nominated for work', '/m/019nnl'], ['/m/021yw7', 'screenwriter of', '/m/019nnl'], ['/m/01h72l', 'tv program genre', '/m/0c4xc'], ['/m/0124k9', 'tv program genre', '/m/0c4xc'], ['/m/0d68qy', 'tv program genre', '/m/0c4xc']]","[['/m/019nnl', 'tv program cast member', '/m/027xbpw'], ['/m/03pmty', 'nominated alongside', '/m/03jldb'], ['/m/03jldb', 'nominated alongside', '/m/03pmty'], ['/m/03jldb', 'nominated alongside', '/m/02d4ct'], ['/m/019nnl', 'tv program producer type', '/m/0ckd1'], ['/m/021yw7', 'award received', '/m/0cjcbg'], ['/m/05_swj', 'award shared with', '/m/021yw7'], ['/m/021yw7', 'occupation', '/m/03gjzk'], ['/m/019nnl', 'tv program genre', '/m/025s89p'], ['/m/04s04', 'producer of', '/m/01h72l'], ['/m/02t_8z', 'nominated for work', '/m/01h72l'], ['/m/01h72l', 'tv program cast member', '/m/022s1m'], ['/m/02czd5', 'tv program genre', '/m/0c4xc'], ['/m/0pz04', 'nominated for work', '/m/0124k9'], ['/m/0124k9', 'nominee of work', '/m/03mdt'], ['/m/09qv3c', 'nomination', '/m/0124k9'], ['/m/030cx', 'tv program genre', '/m/0c4xc'], ['/m/0d68qy', 'nominee of work', '/m/0h27vc'], ['/m/0cqhmg', 'nomination', '/m/0d68qy'], ['/m/01nrgq', 'nominated for work', '/m/0d68qy'], ['/m/0557yqh', 'tv program genre', '/m/0c4xc']]","[['/m/03jldb', 'screenwriter of', '/m/019nnl'], ['/m/03jldb', 'producer of', '/m/019nnl'], ['/m/021yw7', 'producer of', '/m/019nnl'], ['/m/021yw7', 'nominated for work', '/m/019nnl'], ['/m/05_swj', 'nominated for work', '/m/019nnl']]"
8,"[['/m/01xr2s', 'tv program genre', '/m/0lsxr']]","[['/m/02y_2y', 'nominated for work', '/m/01xr2s'], ['/m/01xr2s', 'tv program country of origin', '/m/09c7w0'], ['/m/01xr2s', 'tv program genre', '/m/02fgmn'], ['/m/0n_hp', 'film genre', '/m/0lsxr'], ['/m/035xwd', 'film genre', '/m/0lsxr'], ['/m/0gx9rvq', 'film genre', '/m/0lsxr']]","[['/m/02y_2y', 'dietary practice', '/m/07_jd'], ['/m/02y_2y', 'award received', '/m/04ljl_l'], ['/m/02y_2y', 'cast member of', '/m/0sxmx'], ['/m/01xr2s', 'award won', '/m/0m7yy'], ['/m/01xr2s', 'tv program cast member', '/m/042xrr'], ['/m/02sqkh', 'tv program genre', '/m/02fgmn'], ['/m/053x8hr', 'tv program genre', '/m/02fgmn'], ['/m/0n_hp', 'distribution medium', '/m/029j_'], ['/m/0n_hp', 'film genre', '/m/03bxz7'], ['/m/0n_hp', 'film crew role', '/m/0dxtw'], ['/m/0mb8c', 'film genre', '/m/0lsxr'], ['/m/01r97z', 'film genre', '/m/0lsxr'], ['/m/03f7nt', 'film genre', '/m/0lsxr'], ['/m/035xwd', 'film written by', '/m/01v80y'], ['/m/035xwd', 'film genre', '/m/07s9rl0'], ['/m/035xwd', 'film country of origin', '/m/09c7w0'], ['/m/0gx9rvq', 'film release regions', '/m/077qn'], ['/m/0gx9rvq', 'film release regions', '/m/06bnz'], ['/m/0gx9rvq', 'film release regions', '/m/06t2t']]","[['/m/02sqkh', 'tv program genre', '/m/0lsxr'], ['/m/053x8hr', 'tv program genre', '/m/0lsxr']]"
9,"[['/m/05zr0xl', 'tv program genre', '/m/09dhj']]","[['/m/07c52', 'films with this genre', '/m/05zr0xl'], ['/m/026_dcw', 'screenwriter of', '/m/05zr0xl'], ['/m/027gs1_', 'nomination', '/m/05zr0xl'], ['/m/09dhj', 'taxonomy entry of', '/m/04n6k']]","[['/m/063zky', 'distribution medium', '/m/07c52'], ['/m/04b_46', 'academic discipline', '/m/07c52'], ['/m/07c52', 'films with this genre', '/m/039cq4'], ['/m/0cqhmg', 'nomination', '/m/05zr0xl'], ['/m/0d4fqn', 'award shared with', '/m/026_dcw'], ['/m/0crx5w', 'nominated alongside', '/m/026_dcw'], ['/m/026_dcw', 'marital status', '/m/04ztj'], ['/m/05zr0xl', 'tv program creator', '/m/026_dcw'], ['/m/027gs1_', 'nomination', '/m/0431v3'], ['/m/0crx5w', 'award received', '/m/027gs1_'], ['/m/02r1ysd', 'award won', '/m/027gs1_'], ['/m/09qv3c', 'nomination', '/m/05zr0xl']]","[['/m/026_dcw', 'nominated for work', '/m/05zr0xl'], ['/m/026_dcw', 'producer of', '/m/05zr0xl'], ['/m/0crx5w', 'nominated for work', '/m/05zr0xl'], ['/m/0crx5w', 'producer of', '/m/05zr0xl'], ['/m/0crx5w', 'screenwriter of', '/m/05zr0xl']]"
