,zerohop,onehop,twohop,connecting
0,"[['02346136', 'synset_domain_topic_of', '01090446']]","[['02346136', 'hypernym', '02260362'], ['10200531', 'derivationally_related_form', '02346136'], ['02346136', 'derivationally_related_form', '10200531'], ['02247028', 'synset_domain_topic_of', '01090446'], ['02260362', 'synset_domain_topic_of', '01090446'], ['02244603', 'synset_domain_topic_of', '01090446']]","[['02346136', 'derivationally_related_form', '01111750'], ['02242256', 'hypernym', '02260362'], ['01113068', 'derivationally_related_form', '02260362'], ['02298160', 'hypernym', '02260362'], ['10200531', 'hypernym', '10103485'], ['02247028', 'derivationally_related_form', '10525436'], ['02728570', 'verb_group', '02247028'], ['02247028', 'hypernym', '02242464'], ['02298160', 'synset_domain_topic_of', '01090446'], ['01094725', 'hypernym', '01090446'], ['02244603', 'hypernym', '02242464'], ['01119620', 'derivationally_related_form', '02244603'], ['02244603', 'derivationally_related_form', '01119620'], ['02261464', 'synset_domain_topic_of', '01090446']]","[['01113068', 'hypernym', '01090446'], ['02728570', 'synset_domain_topic_of', '01090446']]"
1,"[['08022259', 'synset_domain_topic_of', '00759694']]","[['08022259', 'instance_hypernym', '08392137'], ['08022259', 'has_part', '08040257'], ['08033829', 'synset_domain_topic_of', '00759694'], ['00764891', 'synset_domain_topic_of', '00759694'], ['00764891', 'hypernym', '00759694']]","[['08010942', 'instance_hypernym', '08392137'], ['08045140', 'instance_hypernym', '08392137'], ['08014860', 'instance_hypernym', '08392137'], ['08040257', 'instance_hypernym', '08392137'], ['08040257', 'synset_domain_topic_of', '00759694'], ['08792548', 'member_of_domain_region', '08040257'], ['08033829', 'instance_hypernym', '08392137'], ['08720481', 'member_of_domain_region', '08033829'], ['08020242', 'synset_domain_topic_of', '00759694'], ['00759694', 'derivationally_related_form', '10702781'], ['08020785', 'synset_domain_topic_of', '00759694']]","[['08392137', 'synset_domain_topic_of', '00759694'], ['08010942', 'synset_domain_topic_of', '00759694'], ['08045140', 'synset_domain_topic_of', '00759694'], ['08014860', 'synset_domain_topic_of', '00759694']]"
2,"[['00968155', 'synset_domain_topic_of', '08199025']]","[['01299735', 'instance_hypernym', '00968155'], ['01290435', 'instance_hypernym', '00968155'], ['01289061', 'instance_hypernym', '00968155'], ['09770179', 'synset_domain_topic_of', '08199025'], ['08397675', 'synset_domain_topic_of', '08199025'], ['07986381', 'synset_domain_topic_of', '08199025']]","[['01299735', 'has_part', '01295918'], ['01301630', 'has_part', '01299735'], ['09148970', 'member_of_domain_region', '01299735'], ['01277288', 'instance_hypernym', '00968155'], ['01290435', 'instance_hypernym', '01075117'], ['09148970', 'member_of_domain_region', '01290435'], ['01301630', 'has_part', '01290435'], ['01312096', 'has_part', '01289061'], ['09770179', 'hypernym', '10317007'], ['10095061', 'synset_domain_topic_of', '08199025'], ['02740300', 'synset_domain_topic_of', '08199025'], ['08397675', 'hypernym', '08397255'], ['08404895', 'synset_domain_topic_of', '08199025'], ['07986381', 'hypernym', '08198398']]","[['01075117', 'synset_domain_topic_of', '08199025'], ['10317007', 'synset_domain_topic_of', '08199025'], ['08397255', 'synset_domain_topic_of', '08199025'], ['08198398', 'synset_domain_topic_of', '08199025']]"
3,"[['03930087', 'synset_domain_topic_of', '08199025']]","[['03930087', 'hypernym', '03764276'], ['10095061', 'synset_domain_topic_of', '08199025'], ['08404895', 'synset_domain_topic_of', '08199025'], ['02740300', 'synset_domain_topic_of', '08199025']]","[['02937336', 'hypernym', '03764276'], ['04552348', 'hypernym', '03764276'], ['03764276', 'synset_domain_topic_of', '08199025'], ['08215248', 'member_meronym', '10095061'], ['10095061', 'hypernym', '10622053'], ['09770179', 'synset_domain_topic_of', '08199025'], ['08397675', 'synset_domain_topic_of', '08199025'], ['08404895', 'has_part', '08405124'], ['08174995', 'hypernym', '08404895'], ['08175498', 'hypernym', '08404895'], ['02740300', 'hypernym', '02740533'], ['07986381', 'synset_domain_topic_of', '08199025']]","[['04552348', 'synset_domain_topic_of', '08199025'], ['08405124', 'synset_domain_topic_of', '08199025']]"
4,"[['07361863', 'synset_domain_topic_of', '08199025']]","[['06605046', 'member_of_domain_usage', '07361863'], ['10095061', 'synset_domain_topic_of', '08199025'], ['08404895', 'synset_domain_topic_of', '08199025'], ['02740300', 'synset_domain_topic_of', '08199025']]","[['06605046', 'hypernym', '07151380'], ['06605046', 'member_of_domain_usage', '13506727'], ['06605046', 'member_of_domain_usage', '13441387'], ['08215248', 'member_meronym', '10095061'], ['10095061', 'hypernym', '10622053'], ['09770179', 'synset_domain_topic_of', '08199025'], ['08397675', 'synset_domain_topic_of', '08199025'], ['08404895', 'has_part', '08405124'], ['08174995', 'hypernym', '08404895'], ['08175498', 'hypernym', '08404895'], ['02740300', 'hypernym', '02740533'], ['07986381', 'synset_domain_topic_of', '08199025']]","[['08405124', 'synset_domain_topic_of', '08199025']]"
5,"[['00765193', 'synset_domain_topic_of', '00759694']]","[['00765193', 'derivationally_related_form', '02506361'], ['02506361', 'derivationally_related_form', '00765193'], ['00765193', 'hypernym', '00745005'], ['08033829', 'synset_domain_topic_of', '00759694'], ['00764891', 'synset_domain_topic_of', '00759694'], ['00764891', 'hypernym', '00759694']]","[['02506361', 'derivationally_related_form', '07520612'], ['07520612', 'derivationally_related_form', '02506361'], ['08033829', 'instance_hypernym', '08392137'], ['08720481', 'member_of_domain_region', '08033829'], ['08020242', 'synset_domain_topic_of', '00759694'], ['00759694', 'derivationally_related_form', '10702781'], ['08020785', 'synset_domain_topic_of', '00759694']]","[['08392137', 'synset_domain_topic_of', '00759694']]"
6,"[['00772813', 'synset_domain_topic_of', '08441203']]","[['00772813', 'derivationally_related_form', '00963283'], ['00772813', 'hypernym', '00770270'], ['00963283', 'derivationally_related_form', '00772813'], ['02789770', 'synset_domain_topic_of', '08441203'], ['00906037', 'synset_domain_topic_of', '08441203'], ['06532330', 'synset_domain_topic_of', '08441203']]","[['00962634', 'similar_to', '00963283'], ['02402409', 'derivationally_related_form', '00963283'], ['00963283', 'derivationally_related_form', '06790042'], ['04879658', 'derivationally_related_form', '00963283'], ['06790042', 'derivationally_related_form', '00963283'], ['03120778', 'has_part', '02789770'], ['01182654', 'synset_domain_topic_of', '08441203'], ['00906037', 'hypernym', '00894738'], ['00906037', 'derivationally_related_form', '06741728'], ['00906037', 'derivationally_related_form', '00354583'], ['01077881', 'synset_domain_topic_of', '08441203'], ['01189929', 'synset_domain_topic_of', '08441203'], ['06532330', 'hypernym', '06479665'], ['06533039', 'hypernym', '06532330'], ['08441203', 'has_part', '06532330']]","[['03120778', 'synset_domain_topic_of', '08441203'], ['06533039', 'synset_domain_topic_of', '08441203']]"
7,"[['08454818', 'synset_domain_topic_of', '08441203']]","[['08454818', 'hypernym', '08441203'], ['08454818', 'synset_domain_topic_of', '08199025'], ['02789770', 'synset_domain_topic_of', '08441203'], ['00906037', 'synset_domain_topic_of', '08441203'], ['06532330', 'synset_domain_topic_of', '08441203']]","[['03120778', 'has_part', '02789770'], ['01182654', 'synset_domain_topic_of', '08441203'], ['00906037', 'hypernym', '00894738'], ['00906037', 'derivationally_related_form', '06741728'], ['00906037', 'derivationally_related_form', '00354583'], ['01077881', 'synset_domain_topic_of', '08441203'], ['01189929', 'synset_domain_topic_of', '08441203'], ['06532330', 'hypernym', '06479665'], ['06533039', 'hypernym', '06532330'], ['08441203', 'has_part', '06532330']]","[['03120778', 'synset_domain_topic_of', '08441203'], ['06533039', 'synset_domain_topic_of', '08441203']]"
8,"[['13433948', 'synset_domain_topic_of', '06037666']]","[['13433948', 'hypernym', '13489037'], ['13548734', 'synset_domain_topic_of', '06037666'], ['06037666', 'derivationally_related_form', '09855630'], ['06077648', 'hypernym', '06037666']]","[['13552124', 'hypernym', '13489037'], ['13454318', 'hypernym', '13489037'], ['00231557', 'derivationally_related_form', '13489037'], ['13548734', 'hypernym', '13526110'], ['02665803', 'derivationally_related_form', '06037666'], ['13501738', 'synset_domain_topic_of', '06037666'], ['08107499', 'synset_domain_topic_of', '06037666'], ['10884597', 'instance_hypernym', '09855630'], ['10346514', 'hypernym', '09855630'], ['10313580', 'hypernym', '09855630'], ['10313580', 'derivationally_related_form', '06077648'], ['01348530', 'synset_domain_topic_of', '06077648'], ['06077648', 'derivationally_related_form', '10313580']]","[['13489037', 'synset_domain_topic_of', '06037666'], ['09855630', 'synset_domain_topic_of', '06037666'], ['09855630', 'derivationally_related_form', '06037666']]"
9,"[['00959992', 'synset_domain_topic_of', '08199025']]","[['00959992', 'derivationally_related_form', '01109863'], ['00959992', 'hypernym', '00955060'], ['10095061', 'synset_domain_topic_of', '08199025'], ['08397675', 'synset_domain_topic_of', '08199025'], ['02740300', 'synset_domain_topic_of', '08199025']]","[['00955060', 'derivationally_related_form', '01109863'], ['01109863', 'derivationally_related_form', '00955060'], ['00955060', 'synset_domain_topic_of', '08199025'], ['00971463', 'hypernym', '00955060'], ['08215248', 'member_meronym', '10095061'], ['10095061', 'hypernym', '10622053'], ['09770179', 'synset_domain_topic_of', '08199025'], ['08397675', 'hypernym', '08397255'], ['08404895', 'synset_domain_topic_of', '08199025'], ['02740300', 'hypernym', '02740533'], ['07986381', 'synset_domain_topic_of', '08199025']]","[['08397255', 'synset_domain_topic_of', '08199025']]"
