,zerohop,onehop,twohop,connecting
0,"[['Q103474_2001:_A_Space_Odyssey', 'P1877_after_a_work_by', 'Q47087_Arthur_C._Clarke']]","[['Q103474_2001:_A_Space_Odyssey', 'P162_producer', 'Q2001_Stanley_Kubrick'], ['Q103474_2001:_A_Space_Odyssey', 'P1411_nominated_for', 'Q393686_Academy_Award_for_Best_Visual_Effects'], ['Q103474_2001:_A_Space_Odyssey', 'P495_country_of_origin', 'Q145_United_Kingdom'], ['Q47087_Arthur_C._Clarke', 'P166_award_received', 'Q255032_Hugo_Award_for_Best_Novel'], ['Q47087_Arthur_C._Clarke', 'P69_educated_at', ""Q245247_King's_College_London""], ['Q47087_Arthur_C._Clarke', 'P1411_nominated_for', 'Q41417_Academy_Award_for_Best_Writing,_Original_Screenplay']]","[['Q103474_2001:_A_Space_Odyssey', 'P57_director', 'Q2001_Stanley_Kubrick'], ['Q211784_2010:_The_Year_We_Make_Contact', 'P155_follows', 'Q103474_2001:_A_Space_Odyssey'], ['Q103474_2001:_A_Space_Odyssey', 'P915_filming_location', 'Q829_Utah'], ['Q13417189_Interstellar', 'P166_award_received', 'Q393686_Academy_Award_for_Best_Visual_Effects'], ['Q47087_Arthur_C._Clarke', 'P27_country_of_citizenship', 'Q854_Sri_Lanka'], ['Q47087_Arthur_C._Clarke', 'P136_genre', 'Q24925_science_fiction'], ['Q210059_Neil_Gaiman', 'P1411_nominated_for', 'Q255032_Hugo_Award_for_Best_Novel'], ['Q347461_Joe_Haldeman', 'P166_award_received', 'Q255032_Hugo_Award_for_Best_Novel'], ['Q255032_Hugo_Award_for_Best_Novel', 'P1346_winner', 'Q313185_Fritz_Leiber_Junior']]","[['Q13417189_Interstellar', 'P737_influenced_by', 'Q103474_2001:_A_Space_Odyssey'], ['Q255032_Hugo_Award_for_Best_Novel', 'P1346_winner', 'Q47087_Arthur_C._Clarke']]"
1,"[['Q1968853_Richard_III', 'P1877_after_a_work_by', 'Q692_William_Shakespeare']]","[['Q1968853_Richard_III', 'P136_genre', 'Q52162262_film_based_on_literature'], ['Q1968853_Richard_III', 'P58_screenwriter', 'Q55245_Laurence_Olivier'], ['Q1968853_Richard_III', 'P161_cast_member', 'Q55245_Laurence_Olivier'], ['Q81438_Walt_Whitman', 'P737_influenced_by', 'Q692_William_Shakespeare'], ['Q1635819_Titus', 'P1877_after_a_work_by', 'Q692_William_Shakespeare'], [""Q1305191_A_Midsummer_Night's_Dream"", 'P1877_after_a_work_by', 'Q692_William_Shakespeare']]","[['Q1968853_Richard_III', 'P161_cast_member', 'Q381285_Ralph_Richardson'], ['Q1968853_Richard_III', 'P162_producer', 'Q55245_Laurence_Olivier'], ['Q27178_Hamlet', 'P58_screenwriter', 'Q55245_Laurence_Olivier'], ['Q1968853_Richard_III', 'P57_director', 'Q55245_Laurence_Olivier'], ['Q517265_Romeo_and_Juliet', 'P2438_narrator', 'Q55245_Laurence_Olivier'], ['Q37767_T._S._Eliot', 'P737_influenced_by', 'Q81438_Walt_Whitman'], ['Q81438_Walt_Whitman', 'P27_country_of_citizenship', 'Q30_United_States_of_America'], ['Q81438_Walt_Whitman', 'P31_instance_of', 'Q5_human'], ['Q9068_Voltaire', 'P737_influenced_by', 'Q692_William_Shakespeare'], ['Q1635819_Titus', 'P161_cast_member', 'Q173585_Jessica_Lange'], ['Q1635819_Titus', 'P915_filming_location', 'Q224_Croatia'], ['Q1635819_Titus', 'P161_cast_member', 'Q213567_Jonathan_Rhys_Meyers'], ['Q1232912_A_Double_Life', 'P1877_after_a_work_by', 'Q692_William_Shakespeare'], [""Q1305191_A_Midsummer_Night's_Dream"", 'P1411_nominated_for', 'Q131520_Academy_Award_for_Best_Cinematography'], [""Q1305191_A_Midsummer_Night's_Dream"", 'P161_cast_member', 'Q95068_Olivia_de_Havilland'], [""Q1305191_A_Midsummer_Night's_Dream"", 'P1431_executive_producer', 'Q472520_Hal_B._Wallis']]","[['Q27178_Hamlet', 'P1877_after_a_work_by', 'Q692_William_Shakespeare'], ['Q517265_Romeo_and_Juliet', 'P1877_after_a_work_by', 'Q692_William_Shakespeare'], ['Q37767_T._S._Eliot', 'P737_influenced_by', 'Q692_William_Shakespeare']]"
2,"[['Q2060354_Tarzan,_the_Ape_Man', 'P1877_after_a_work_by', 'Q148234_Edgar_Rice_Burroughs']]","[['Q2060354_Tarzan,_the_Ape_Man', 'P161_cast_member', 'Q229477_Bo_Derek'], ['Q2060354_Tarzan,_the_Ape_Man', 'P136_genre', 'Q130232_drama_film'], ['Q2060354_Tarzan,_the_Ape_Man', 'P31_instance_of', 'Q11424_film'], ['Q148234_Edgar_Rice_Burroughs', 'P119_place_of_burial', 'Q2708222_Tarzana'], ['Q148234_Edgar_Rice_Burroughs', 'P19_place_of_birth', 'Q1297_Chicago'], ['Q148234_Edgar_Rice_Burroughs', 'P136_genre', 'Q21590660_Western']]","[['Q2060354_Tarzan,_the_Ape_Man', 'P136_genre', 'Q319221_adventure_film'], ['Q2060354_Tarzan,_the_Ape_Man', 'P161_cast_member', 'Q106775_Richard_Harris'], ['Q2060354_Tarzan,_the_Ape_Man', 'P272_production_company', 'Q179200_Metro-Goldwyn-Mayer'], ['Q208696_Tarzan', 'P1877_after_a_work_by', 'Q148234_Edgar_Rice_Burroughs'], ['Q2708222_Tarzana', 'P138_named_after', 'Q170241_Tarzan'], ['Q40640_Ray_Bradbury', 'P737_influenced_by', 'Q148234_Edgar_Rice_Burroughs']]","[['Q170241_Tarzan', 'P170_creator', 'Q148234_Edgar_Rice_Burroughs']]"
3,"[['Q106571_From_Russia_with_Love', 'P1877_after_a_work_by', 'Q82104_Ian_Fleming']]","[['Q2009573_James_Bond', 'P1441_present_in_work', 'Q106571_From_Russia_with_Love'], ['Q106571_From_Russia_with_Love', 'P915_filming_location', 'Q39_Switzerland'], ['Q106571_From_Russia_with_Love', 'P136_genre', 'Q52162262_film_based_on_literature'], ['Q82104_Ian_Fleming', 'P69_educated_at', 'Q192088_Eton_College'], ['Q82104_Ian_Fleming', 'P241_military_branch', 'Q172771_Royal_Navy'], ['Q334780_Moonraker', 'P58_screenwriter', 'Q82104_Ian_Fleming']]","[['Q2009573_James_Bond', 'P1441_present_in_work', 'Q4941_Skyfall'], ['Q2009573_James_Bond', 'P1441_present_in_work', 'Q320423_The_Spy_Who_Loved_Me'], ['Q2009573_James_Bond', 'P1441_present_in_work', 'Q204398_Octopussy'], ['Q106571_From_Russia_with_Love', 'P915_filming_location', 'Q2807_Madrid'], ['Q106571_From_Russia_with_Love', 'P840_narrative_location', 'Q3711_Belgrade'], ['Q107761_You_Only_Live_Twice', 'P1877_after_a_work_by', 'Q82104_Ian_Fleming'], ['Q2009573_James_Bond', 'P69_educated_at', 'Q192088_Eton_College'], ['Q82104_Ian_Fleming', 'P20_place_of_death', 'Q29303_Canterbury'], ['Q334780_Moonraker', 'P161_cast_member', 'Q134333_Roger_Moore'], ['Q2009573_James_Bond', 'P1441_present_in_work', 'Q334780_Moonraker'], ['Q334780_Moonraker', 'P2554_production_designer', 'Q63997_Ken_Adam'], ['Q27204_Live_and_Let_Die', 'P58_screenwriter', 'Q82104_Ian_Fleming']]","[['Q320423_The_Spy_Who_Loved_Me', 'P1877_after_a_work_by', 'Q82104_Ian_Fleming'], ['Q334780_Moonraker', 'P1877_after_a_work_by', 'Q82104_Ian_Fleming']]"
4,"[['Q232009_Harry_Potter_and_the_Deathly_Hallows_–_Part_2', 'P1877_after_a_work_by', 'Q34660_J._K._Rowling']]","[['Q232009_Harry_Potter_and_the_Deathly_Hallows_–_Part_2', 'P31_instance_of', 'Q11424_film'], ['Q232009_Harry_Potter_and_the_Deathly_Hallows_–_Part_2', 'P840_narrative_location', 'Q84_London'], ['Q232009_Harry_Potter_and_the_Deathly_Hallows_–_Part_2', 'P1411_nominated_for', 'Q393686_Academy_Award_for_Best_Visual_Effects'], ['Q34660_J._K._Rowling', 'P1412_languages_spoken,_written_or_signed', 'Q1860_English'], ['Q34660_J._K._Rowling', 'P1411_nominated_for', ""Q971363_Guardian_Children's_Fiction_Prize""], ['Q18199330_Fantastic_Beasts_and_Where_to_Find_Them', 'P58_screenwriter', 'Q34660_J._K._Rowling']]","[['Q232009_Harry_Potter_and_the_Deathly_Hallows_–_Part_2', 'P915_filming_location', 'Q84_London'], ['Q232009_Harry_Potter_and_the_Deathly_Hallows_–_Part_2', 'P136_genre', 'Q52162262_film_based_on_literature'], ['Q161678_Harry_Potter_and_the_Deathly_Hallows_–_Part_1', 'P162_producer', 'Q34660_J._K._Rowling'], ['Q34660_J._K._Rowling', 'P166_award_received', 'Q607354_Locus_Award_for_Best_Fantasy_Novel'], ['Q18199330_Fantastic_Beasts_and_Where_to_Find_Them', 'P344_director_of_photography', 'Q750718_Philippe_Rousselot'], ['Q18199330_Fantastic_Beasts_and_Where_to_Find_Them', 'P136_genre', 'Q130232_drama_film'], ['Q18199330_Fantastic_Beasts_and_Where_to_Find_Them', 'P161_cast_member', 'Q37175_Johnny_Depp'], ['Q161687_Harry_Potter_and_the_Half-Blood_Prince', 'P1877_after_a_work_by', 'Q34660_J._K._Rowling']]","[['Q18199330_Fantastic_Beasts_and_Where_to_Find_Them', 'P1877_after_a_work_by', 'Q34660_J._K._Rowling']]"
5,"[['Q1232912_A_Double_Life', 'P1877_after_a_work_by', 'Q692_William_Shakespeare']]","[['Q1232912_A_Double_Life', 'P161_cast_member', ""Q119935_Edmond_O'Brien""], ['Q1232912_A_Double_Life', 'P364_original_language_of_film_or_TV_show', 'Q652_Italian'], ['Q1232912_A_Double_Life', 'P58_screenwriter', 'Q232562_Ruth_Gordon'], ['Q9068_Voltaire', 'P737_influenced_by', 'Q692_William_Shakespeare'], ['Q1635819_Titus', 'P1877_after_a_work_by', 'Q692_William_Shakespeare'], ['Q1968853_Richard_III', 'P1877_after_a_work_by', 'Q692_William_Shakespeare']]","[['Q1232912_A_Double_Life', 'P136_genre', 'Q185867_film_noir'], ['Q1232912_A_Double_Life', 'P166_award_received', 'Q103916_Academy_Award_for_Best_Actor'], ['Q1232912_A_Double_Life', 'P272_production_company', 'Q168383_Universal_Pictures'], ['Q232562_Ruth_Gordon', 'P106_occupation', 'Q214917_playwright'], ['Q9068_Voltaire', 'P27_country_of_citizenship', 'Q142_France'], ['Q9068_Voltaire', 'P737_influenced_by', 'Q935_Isaac_Newton'], ['Q9068_Voltaire', 'P172_ethnic_group', 'Q121842_French_people'], ['Q81438_Walt_Whitman', 'P737_influenced_by', 'Q692_William_Shakespeare'], ['Q1635819_Titus', 'P161_cast_member', 'Q173585_Jessica_Lange'], ['Q1635819_Titus', 'P915_filming_location', 'Q224_Croatia'], ['Q1635819_Titus', 'P161_cast_member', 'Q213567_Jonathan_Rhys_Meyers'], ['Q1968853_Richard_III', 'P136_genre', 'Q52162262_film_based_on_literature'], ['Q1968853_Richard_III', 'P58_screenwriter', 'Q55245_Laurence_Olivier'], ['Q1968853_Richard_III', 'P161_cast_member', 'Q55245_Laurence_Olivier'], [""Q1305191_A_Midsummer_Night's_Dream"", 'P1877_after_a_work_by', 'Q692_William_Shakespeare']]","[['Q214917_playwright', 'P5869_model_item', 'Q692_William_Shakespeare']]"
6,"[['Q334780_Moonraker', 'P1877_after_a_work_by', 'Q82104_Ian_Fleming']]","[['Q334780_Moonraker', 'P161_cast_member', 'Q303891_Lewis_Gilbert'], ['Q2009573_James_Bond', 'P1441_present_in_work', 'Q334780_Moonraker'], ['Q334780_Moonraker', 'P2554_production_designer', 'Q63997_Ken_Adam'], ['Q82104_Ian_Fleming', 'P69_educated_at', 'Q192088_Eton_College'], ['Q82104_Ian_Fleming', 'P20_place_of_death', 'Q29303_Canterbury'], ['Q27204_Live_and_Let_Die', 'P58_screenwriter', 'Q82104_Ian_Fleming']]","[['Q334780_Moonraker', 'P161_cast_member', 'Q134333_Roger_Moore'], ['Q320423_The_Spy_Who_Loved_Me', 'P57_director', 'Q303891_Lewis_Gilbert'], ['Q107761_You_Only_Live_Twice', 'P57_director', 'Q303891_Lewis_Gilbert'], ['Q2009573_James_Bond', 'P1441_present_in_work', 'Q4941_Skyfall'], ['Q2009573_James_Bond', 'P4969_derivative_work', 'Q30931_Die_Another_Day'], ['Q2009573_James_Bond', 'P1441_present_in_work', 'Q204398_Octopussy'], ['Q334780_Moonraker', 'P921_main_subject', 'Q765633_aviation'], ['Q334780_Moonraker', 'P495_country_of_origin', 'Q145_United_Kingdom'], ['Q107761_You_Only_Live_Twice', 'P1877_after_a_work_by', 'Q82104_Ian_Fleming'], ['Q82104_Ian_Fleming', 'P241_military_branch', 'Q172771_Royal_Navy'], ['Q334780_Moonraker', 'P58_screenwriter', 'Q82104_Ian_Fleming'], ['Q2009573_James_Bond', 'P69_educated_at', 'Q192088_Eton_College'], ['Q27204_Live_and_Let_Die', 'P31_instance_of', 'Q11424_film'], ['Q27204_Live_and_Let_Die', 'P840_narrative_location', 'Q60_New_York_City'], ['Q1779543_Felix_Leiter', 'P1441_present_in_work', 'Q27204_Live_and_Let_Die']]","[['Q320423_The_Spy_Who_Loved_Me', 'P1877_after_a_work_by', 'Q82104_Ian_Fleming'], ['Q107761_You_Only_Live_Twice', 'P58_screenwriter', 'Q82104_Ian_Fleming'], ['Q27204_Live_and_Let_Die', 'P1877_after_a_work_by', 'Q82104_Ian_Fleming'], ['Q1779543_Felix_Leiter', 'P170_creator', 'Q82104_Ian_Fleming']]"
7,"[['Q1199440_The_Two_Mouseketeers', 'P1877_after_a_work_by', 'Q38337_Alexandre_Dumas']]","[['Q1199440_The_Two_Mouseketeers', 'P57_director', 'Q190373_Joseph_Barbera'], ['Q1199440_The_Two_Mouseketeers', 'P57_director', 'Q263324_William_Hanna'], ['Q1199440_The_Two_Mouseketeers', 'P272_production_company', 'Q179200_Metro-Goldwyn-Mayer'], ['Q38337_Alexandre_Dumas', 'P1412_languages_spoken,_written_or_signed', 'Q150_French'], ['Q38337_Alexandre_Dumas', 'P1196_manner_of_death', 'Q3739104_natural_causes'], ['Q38337_Alexandre_Dumas', 'P103_native_language', 'Q150_French']]","[['Q1199440_The_Two_Mouseketeers', 'P58_screenwriter', 'Q263324_William_Hanna'], ['Q1199440_The_Two_Mouseketeers', 'P166_award_received', 'Q917808_Academy_Award_for_Best_Animated_Short_Film'], ['Q1144782_Touché,_Pussy_Cat!', 'P57_director', 'Q263324_William_Hanna'], ['Q1199440_The_Two_Mouseketeers', 'P1411_nominated_for', 'Q917808_Academy_Award_for_Best_Animated_Short_Film'], ['Q1144782_Touché,_Pussy_Cat!', 'P1877_after_a_work_by', 'Q38337_Alexandre_Dumas'], ['Q38337_Alexandre_Dumas', 'P31_instance_of', 'Q5_human'], ['Q38337_Alexandre_Dumas', 'P106_occupation', 'Q214917_playwright']]","[['Q1144782_Touché,_Pussy_Cat!', 'P156_followed_by', 'Q1199440_The_Two_Mouseketeers']]"
8,"[[""Q1305200_A_Midsummer_Night's_Dream"", 'P1877_after_a_work_by', 'Q692_William_Shakespeare']]","[[""Q1305200_A_Midsummer_Night's_Dream"", 'P915_filming_location', 'Q220_Rome'], [""Q1305200_A_Midsummer_Night's_Dream"", 'P161_cast_member', 'Q223117_Stanley_Tucci'], [""Q1305200_A_Midsummer_Night's_Dream"", 'P161_cast_member', 'Q208685_Rupert_Everett'], ['Q9068_Voltaire', 'P737_influenced_by', 'Q692_William_Shakespeare'], ['Q1232912_A_Double_Life', 'P1877_after_a_work_by', 'Q692_William_Shakespeare'], ['Q1968853_Richard_III', 'P1877_after_a_work_by', 'Q692_William_Shakespeare']]","[[""Q1305200_A_Midsummer_Night's_Dream"", 'P272_production_company', 'Q466459_Regency_Enterprises'], [""Q1305200_A_Midsummer_Night's_Dream"", 'P161_cast_member', 'Q159778_Michelle_Pfeiffer'], ['Q9068_Voltaire', 'P27_country_of_citizenship', 'Q142_France'], ['Q9068_Voltaire', 'P737_influenced_by', 'Q935_Isaac_Newton'], ['Q9068_Voltaire', 'P172_ethnic_group', 'Q121842_French_people'], ['Q81438_Walt_Whitman', 'P737_influenced_by', 'Q692_William_Shakespeare'], ['Q1635819_Titus', 'P1877_after_a_work_by', 'Q692_William_Shakespeare'], ['Q1232912_A_Double_Life', 'P161_cast_member', ""Q119935_Edmond_O'Brien""], ['Q1232912_A_Double_Life', 'P364_original_language_of_film_or_TV_show', 'Q652_Italian'], ['Q1232912_A_Double_Life', 'P58_screenwriter', 'Q232562_Ruth_Gordon'], ['Q1968853_Richard_III', 'P136_genre', 'Q52162262_film_based_on_literature'], ['Q1968853_Richard_III', 'P58_screenwriter', 'Q55245_Laurence_Olivier'], ['Q1968853_Richard_III', 'P161_cast_member', 'Q55245_Laurence_Olivier'], [""Q1305191_A_Midsummer_Night's_Dream"", 'P1877_after_a_work_by', 'Q692_William_Shakespeare']]","[['Q1232912_A_Double_Life', 'P58_screenwriter', 'Q692_William_Shakespeare']]"
9,"[['Q591272_Casino_Royale', 'P1877_after_a_work_by', 'Q82104_Ian_Fleming']]","[['Q591272_Casino_Royale', 'P58_screenwriter', 'Q267441_Ben_Hecht'], ['Q2009573_James_Bond', 'P1441_present_in_work', 'Q591272_Casino_Royale'], ['Q246154_M', 'P1441_present_in_work', 'Q591272_Casino_Royale'], ['Q82104_Ian_Fleming', 'P69_educated_at', 'Q192088_Eton_College'], ['Q82104_Ian_Fleming', 'P241_military_branch', 'Q172771_Royal_Navy'], ['Q334780_Moonraker', 'P58_screenwriter', 'Q82104_Ian_Fleming']]","[['Q591272_Casino_Royale', 'P161_cast_member', 'Q25089_Woody_Allen'], ['Q591272_Casino_Royale', 'P161_cast_member', 'Q436187_George_Raft'], ['Q2009573_James_Bond', 'P1441_present_in_work', 'Q4941_Skyfall'], ['Q2009573_James_Bond', 'P1441_present_in_work', 'Q320423_The_Spy_Who_Loved_Me'], ['Q2009573_James_Bond', 'P1412_languages_spoken,_written_or_signed', 'Q9035_Danish'], ['Q246154_M', 'P1441_present_in_work', 'Q309289_The_Man_with_the_Golden_Gun'], ['Q106440_Goldfinger', 'P674_characters', 'Q246154_M'], ['Q107761_You_Only_Live_Twice', 'P674_characters', 'Q246154_M'], ['Q591272_Casino_Royale', 'P161_cast_member', 'Q232477_Jacqueline_Bisset'], ['Q107761_You_Only_Live_Twice', 'P1877_after_a_work_by', 'Q82104_Ian_Fleming'], ['Q2009573_James_Bond', 'P69_educated_at', 'Q192088_Eton_College'], ['Q82104_Ian_Fleming', 'P20_place_of_death', 'Q29303_Canterbury'], ['Q334780_Moonraker', 'P161_cast_member', 'Q134333_Roger_Moore'], ['Q2009573_James_Bond', 'P1441_present_in_work', 'Q334780_Moonraker'], ['Q334780_Moonraker', 'P2554_production_designer', 'Q63997_Ken_Adam'], ['Q27204_Live_and_Let_Die', 'P58_screenwriter', 'Q82104_Ian_Fleming']]","[['Q320423_The_Spy_Who_Loved_Me', 'P1877_after_a_work_by', 'Q82104_Ian_Fleming'], ['Q106440_Goldfinger', 'P58_screenwriter', 'Q82104_Ian_Fleming'], ['Q106440_Goldfinger', 'P1877_after_a_work_by', 'Q82104_Ian_Fleming'], ['Q107761_You_Only_Live_Twice', 'P58_screenwriter', 'Q82104_Ian_Fleming'], ['Q334780_Moonraker', 'P1877_after_a_work_by', 'Q82104_Ian_Fleming']]"
