,zerohop,onehop,twohop,connecting
0,"[['Q11190_medicine', 'P3095_practiced_by', 'Q39631_physician']]","[['Q207011_neuroscience', 'P279_subclass_of', 'Q11190_medicine'], ['Q7867_psychiatry', 'P279_subclass_of', 'Q11190_medicine'], ['Q123028_pediatrics', 'P279_subclass_of', 'Q11190_medicine'], ['Q82083_John_Keats', 'P106_occupation', 'Q39631_physician'], ['Q169906_Jacques_Lacan', 'P106_occupation', 'Q39631_physician'], ['Q5809_Che_Guevara', 'P106_occupation', 'Q39631_physician']]","[['Q207011_neuroscience', 'P361_part_of', 'Q21198_computer_science'], ['Q207011_neuroscience', 'P361_part_of', 'Q11190_medicine'], ['Q207011_neuroscience', 'P361_part_of', 'Q9418_psychology'], ['Q8011_Avicenna', 'P101_field_of_work', 'Q11190_medicine'], ['Q170082_psychosis', 'P1995_health_specialty', 'Q7867_psychiatry'], ['Q211346_psychiatrist', 'P425_field_of_this_occupation', 'Q7867_psychiatry'], ['Q38404_classic_autism', 'P1995_health_specialty', 'Q7867_psychiatry'], ['Q39631_physician', 'P425_field_of_this_occupation', 'Q11190_medicine'], ['Q82083_John_Keats', 'P135_movement', 'Q37068_Romanticism'], ['Q82083_John_Keats', 'P69_educated_at', ""Q245247_King's_College_London""], ['Q82083_John_Keats', 'P551_residence', 'Q38_Italy'], ['Q5685_Anton_Chekhov', 'P106_occupation', 'Q39631_physician'], ['Q39631_physician', 'P1889_different_from', 'Q752297_Doctor_of_Philosophy'], ['Q169906_Jacques_Lacan', 'P20_place_of_death', 'Q90_Paris'], ['Q169906_Jacques_Lacan', 'P1412_languages_spoken,_written_or_signed', 'Q188_German'], ['Q169906_Jacques_Lacan', 'P509_cause_of_death', 'Q188874_colorectal_cancer'], ['Q187349_Dr._John_Watson', 'P106_occupation', 'Q39631_physician'], ['Q5809_Che_Guevara', 'P1412_languages_spoken,_written_or_signed', 'Q1321_Spanish'], ['Q5809_Che_Guevara', 'P551_residence', 'Q96_Mexico'], ['Q5809_Che_Guevara', 'P551_residence', 'Q750_Bolivia']]","[['Q211346_psychiatrist', 'P279_subclass_of', 'Q39631_physician']]"
1,"[['Q333_astronomy', 'P3095_practiced_by', 'Q11063_astronomer']]","[['Q6722_Carl_Friedrich_Gauss', 'P101_field_of_work', 'Q333_astronomy'], ['Q935_Isaac_Newton', 'P101_field_of_work', 'Q333_astronomy'], ['Q11063_astronomer', 'P425_field_of_this_occupation', 'Q333_astronomy'], ['Q315069_David_Brin', 'P106_occupation', 'Q11063_astronomer'], ['Q154353_François_Arago', 'P106_occupation', 'Q11063_astronomer']]","[['Q6722_Carl_Friedrich_Gauss', 'P1412_languages_spoken,_written_or_signed', 'Q397_Latin'], ['Q6722_Carl_Friedrich_Gauss', 'P101_field_of_work', 'Q395_mathematics'], ['Q6722_Carl_Friedrich_Gauss', 'P31_instance_of', 'Q5_human'], ['Q34362_astrology', 'P1889_different_from', 'Q333_astronomy'], ['Q307_Galileo_Galilei', 'P101_field_of_work', 'Q333_astronomy'], ['Q9068_Voltaire', 'P737_influenced_by', 'Q935_Isaac_Newton'], ['Q935_Isaac_Newton', 'P20_place_of_death', 'Q288781_Kensington'], ['Q935_Isaac_Newton', 'P106_occupation', 'Q82955_politician'], ['Q17714_Stephen_Hawking', 'P106_occupation', 'Q11063_astronomer'], ['Q11903_Hypatia', 'P106_occupation', 'Q11063_astronomer'], ['Q7604_Leonhard_Euler', 'P101_field_of_work', 'Q333_astronomy'], ['Q315069_David_Brin', 'P27_country_of_citizenship', 'Q30_United_States_of_America'], ['Q315069_David_Brin', 'P136_genre', 'Q24925_science_fiction'], ['Q2576795_Locus_Award_for_Best_Science_Fiction_Novel', 'P1346_winner', 'Q315069_David_Brin'], ['Q8011_Avicenna', 'P106_occupation', 'Q11063_astronomer'], ['Q154353_François_Arago', 'P20_place_of_death', 'Q90_Paris'], ['Q154353_François_Arago', 'P106_occupation', 'Q901_scientist'], ['Q154353_François_Arago', 'P101_field_of_work', 'Q333_astronomy']]","[['Q935_Isaac_Newton', 'P106_occupation', 'Q11063_astronomer']]"
2,"[['Q9418_psychology', 'P3095_practiced_by', 'Q212980_psychologist']]","[['Q9418_psychology', 'P279_subclass_of', 'Q34749_social_science'], ['Q8388_pedophilia', 'P1995_health_specialty', 'Q9418_psychology'], ['Q8011_Avicenna', 'P101_field_of_work', 'Q9418_psychology'], ['Q125249_William_James', 'P106_occupation', 'Q212980_psychologist'], ['Q212980_psychologist', 'P425_field_of_this_occupation', 'Q9418_psychology'], ['Q131805_John_Dewey', 'P106_occupation', 'Q212980_psychologist']]","[['Q34749_social_science', 'P527_has_part', 'Q9418_psychology'], ['Q8134_economics', 'P279_subclass_of', 'Q34749_social_science'], ['Q1071_geography', 'P279_subclass_of', 'Q34749_social_science'], ['Q34749_social_science', 'P527_has_part', 'Q36442_political_science'], ['Q8388_pedophilia', 'P2579_studied_by', 'Q7867_psychiatry'], ['Q8388_pedophilia', 'P1995_health_specialty', 'Q7867_psychiatry'], ['Q183257_psychotherapy', 'P2578_studies', 'Q8388_pedophilia'], ['Q8011_Avicenna', 'P140_religion', 'Q9585_Shia_Islam'], ['Q8011_Avicenna', 'P101_field_of_work', 'Q333_astronomy'], ['Q8011_Avicenna', 'P551_residence', 'Q42053_Isfahan'], ['Q125249_William_James', 'P108_employer', 'Q13371_Harvard_University'], ['Q125249_William_James', 'P19_place_of_birth', 'Q60_New_York_City'], ['Q125249_William_James', 'P69_educated_at', 'Q49121_Harvard_Medical_School'], ['Q314215_Robert_Anton_Wilson', 'P106_occupation', 'Q212980_psychologist'], ['Q41532_Carl_Gustav_Jung', 'P106_occupation', 'Q212980_psychologist'], ['Q131805_John_Dewey', 'P108_employer', 'Q230492_University_of_Michigan'], ['Q131805_John_Dewey', 'P140_religion', 'Q7066_atheism'], ['Q131805_John_Dewey', 'P20_place_of_death', 'Q60_New_York_City']]","[['Q183257_psychotherapy', 'P361_part_of', 'Q9418_psychology'], ['Q125249_William_James', 'P101_field_of_work', 'Q9418_psychology']]"
3,"[['Q2329_chemistry', 'P3095_practiced_by', 'Q593644_chemist']]","[['Q7094_biochemistry', 'P361_part_of', 'Q2329_chemistry'], ['Q11023_engineering', 'P2578_studies', 'Q2329_chemistry'], ['Q593644_chemist', 'P425_field_of_this_occupation', 'Q2329_chemistry'], ['Q9123_Ernest_Rutherford', 'P106_occupation', 'Q593644_chemist'], ['Q450675_Francis', 'P106_occupation', 'Q593644_chemist'], ['Q8011_Avicenna', 'P106_occupation', 'Q593644_chemist']]","[['Q2329_chemistry', 'P527_has_part', 'Q7094_biochemistry'], ['Q34981_Isaac_Asimov', 'P101_field_of_work', 'Q7094_biochemistry'], ['Q7094_biochemistry', 'P3095_practiced_by', 'Q2919046_biochemist'], ['Q2876213_aerospace', 'P279_subclass_of', 'Q11023_engineering'], ['Q77590_civil_engineering', 'P279_subclass_of', 'Q11023_engineering'], ['Q43035_electrical_engineering', 'P279_subclass_of', 'Q11023_engineering'], ['Q9123_Ernest_Rutherford', 'P27_country_of_citizenship', 'Q174193_United_Kingdom_of_Great_Britain_and_Ireland'], ['Q9123_Ernest_Rutherford', 'P108_employer', 'Q201492_McGill_University'], ['Q9123_Ernest_Rutherford', 'P463_member_of', 'Q466089_American_Philosophical_Society'], ['Q450675_Francis', 'P140_religion', 'Q1841_Catholicism'], ['Q450675_Francis', 'P1412_languages_spoken,_written_or_signed', 'Q150_French'], ['Q450675_Francis', 'P1412_languages_spoken,_written_or_signed', 'Q1860_English'], ['Q593644_chemist', 'P279_subclass_of', 'Q901_scientist'], ['Q8011_Avicenna', 'P140_religion', 'Q9585_Shia_Islam'], ['Q8011_Avicenna', 'P101_field_of_work', 'Q333_astronomy'], ['Q8011_Avicenna', 'P551_residence', 'Q42053_Isfahan'], ['Q217533_The_Joker', 'P106_occupation', 'Q593644_chemist']]","[['Q2919046_biochemist', 'P279_subclass_of', 'Q593644_chemist']]"
4,"[['Q222749_acting', 'P3095_practiced_by', 'Q33999_actor']]","[['Q33999_actor', 'P425_field_of_this_occupation', 'Q222749_acting'], ['Q222749_acting', 'P31_instance_of', 'Q735_art'], ['Q47664_Catherine_Zeta-Jones', 'P106_occupation', 'Q222749_acting'], ['Q3772_Quentin_Tarantino', 'P106_occupation', 'Q33999_actor'], ['Q4617_Corbin_Bleu', 'P106_occupation', 'Q33999_actor'], ['Q83359_James_Dean', 'P106_occupation', 'Q33999_actor']]","[['Q346285_David_Arnold', 'P106_occupation', 'Q33999_actor'], ['Q222749_acting', 'P1889_different_from', 'Q184485_performing_arts'], ['Q119798_Michael_Douglas', 'P26_spouse', 'Q47664_Catherine_Zeta-Jones'], ['Q780197_Christopher_Columbus:_The_Discovery', 'P161_cast_member', 'Q47664_Catherine_Zeta-Jones'], ['Q47664_Catherine_Zeta-Jones', 'P19_place_of_birth', 'Q23051_Swansea'], ['Q3772_Quentin_Tarantino', 'P31_instance_of', 'Q5_human'], ['Q192115_Sin_City', 'P57_director', 'Q3772_Quentin_Tarantino'], ['Q431252_Jackie_Brown', 'P58_screenwriter', 'Q3772_Quentin_Tarantino'], ['Q4617_Corbin_Bleu', 'P31_instance_of', 'Q5_human'], ['Q4617_Corbin_Bleu', 'P136_genre', 'Q37073_pop_music'], ['Q4617_Corbin_Bleu', 'P106_occupation', 'Q4610556_model'], ['Q106418_Catherine_Deneuve', 'P106_occupation', 'Q33999_actor'], ['Q83359_James_Dean', 'P1412_languages_spoken,_written_or_signed', 'Q1860_English'], ['Q83359_James_Dean', 'P69_educated_at', 'Q174710_University_of_California,_Los_Angeles'], ['Q2842976_American_Masters', 'P161_cast_member', 'Q83359_James_Dean'], ['Q2702252_Scott_McNeil', 'P106_occupation', 'Q33999_actor']]","[['Q119798_Michael_Douglas', 'P106_occupation', 'Q33999_actor'], ['Q47664_Catherine_Zeta-Jones', 'P106_occupation', 'Q33999_actor']]"
5,"[['Q7163_politics', 'P3095_practiced_by', 'Q82955_politician']]","[['Q56194_24', 'P921_main_subject', 'Q7163_politics'], ['Q330963_politics_of_the_United_States', 'P279_subclass_of', 'Q7163_politics'], ['Q22686_Donald_Trump', 'P101_field_of_work', 'Q7163_politics'], ['Q9387_Max_Weber', 'P106_occupation', 'Q82955_politician'], ['Q974089_Georges_Vanier', 'P106_occupation', 'Q82955_politician'], ['Q1254_Kofi_Annan', 'P106_occupation', 'Q82955_politician']]","[['Q56194_24', 'P161_cast_member', 'Q350208_Dennis_Haysbert'], ['Q56194_24', 'P840_narrative_location', 'Q60_New_York_City'], ['Q56194_24', 'P161_cast_member', 'Q188500_Elisha_Cuthbert'], ['Q23594_Homeland', 'P921_main_subject', 'Q7163_politics'], ['Q82955_politician', 'P425_field_of_this_occupation', 'Q7163_politics'], ['Q3577037_The_West_Wing', 'P921_main_subject', 'Q330963_politics_of_the_United_States'], ['Q330963_politics_of_the_United_States', 'P17_country', 'Q30_United_States_of_America'], ['Q22686_Donald_Trump', 'P39_position_held', 'Q140686_chairperson'], ['Q22686_Donald_Trump', 'P69_educated_at', 'Q1329269_The_Wharton_School'], ['Q22686_Donald_Trump', 'P1411_nominated_for', 'Q385186_Golden_Raspberry_Award_for_Worst_New_Star'], ['Q9387_Max_Weber', 'P69_educated_at', 'Q151510_Heidelberg_University'], ['Q9387_Max_Weber', 'P27_country_of_citizenship', 'Q27306_Kingdom_of_Prussia'], ['Q9387_Max_Weber', 'P1196_manner_of_death', 'Q3739104_natural_causes'], ['Q129006_Clement_Attlee', 'P106_occupation', 'Q82955_politician'], ['Q974089_Georges_Vanier', 'P166_award_received', 'Q190353_Sovereign_Military_Order_of_Malta'], ['Q974089_Georges_Vanier', 'P1412_languages_spoken,_written_or_signed', 'Q150_French'], ['Q974089_Georges_Vanier', 'P607_conflict', 'Q361_World_War_I'], ['Q173347_Éamon_de_Valera', 'P106_occupation', 'Q82955_politician'], ['Q1254_Kofi_Annan', 'P1196_manner_of_death', 'Q3739104_natural_causes'], ['Q1254_Kofi_Annan', 'P20_place_of_death', 'Q70_Bern'], ['Q1254_Kofi_Annan', 'P106_occupation', 'Q193391_diplomat'], ['Q2646553_N._T._Rama_Rao', 'P106_occupation', 'Q82955_politician']]","[['Q22686_Donald_Trump', 'P106_occupation', 'Q82955_politician']]"
6,"[['Q8134_economics', 'P3095_practiced_by', 'Q188094_economist']]","[['Q34749_social_science', 'P527_has_part', 'Q8134_economics'], ['Q152087_Humboldt_University_of_Berlin', 'P101_field_of_work', 'Q8134_economics'], ['Q188094_economist', 'P425_field_of_this_occupation', 'Q8134_economics'], ['Q9387_Max_Weber', 'P106_occupation', 'Q188094_economist'], ['Q37621_Thomas_Hobbes', 'P106_occupation', 'Q188094_economist'], ['Q152452_Gunnar_Myrdal', 'P106_occupation', 'Q188094_economist']]","[['Q8134_economics', 'P279_subclass_of', 'Q34749_social_science'], ['Q1071_geography', 'P279_subclass_of', 'Q34749_social_science'], ['Q34749_social_science', 'P527_has_part', 'Q36442_political_science'], ['Q62444_Wilhelm_Röpke', 'P101_field_of_work', 'Q8134_economics'], ['Q152452_Gunnar_Myrdal', 'P101_field_of_work', 'Q8134_economics'], ['Q152087_Humboldt_University_of_Berlin', 'P2936_language_used', 'Q188_German'], ['Q152087_Humboldt_University_of_Berlin', 'P31_instance_of', 'Q875538_public_university'], ['Q9387_Max_Weber', 'P69_educated_at', 'Q152087_Humboldt_University_of_Berlin'], ['Q956568_Forbes', 'P921_main_subject', 'Q8134_economics'], ['Q9387_Max_Weber', 'P69_educated_at', 'Q151510_Heidelberg_University'], ['Q9387_Max_Weber', 'P106_occupation', 'Q82955_politician'], ['Q9387_Max_Weber', 'P1196_manner_of_death', 'Q3739104_natural_causes'], ['Q9353_John_Locke', 'P737_influenced_by', 'Q37621_Thomas_Hobbes'], ['Q37621_Thomas_Hobbes', 'P1412_languages_spoken,_written_or_signed', 'Q397_Latin'], ['Q9047_Gottfried_Wilhelm_Leibniz', 'P737_influenced_by', 'Q37621_Thomas_Hobbes'], ['Q1254_Kofi_Annan', 'P106_occupation', 'Q188094_economist'], ['Q152452_Gunnar_Myrdal', 'P1412_languages_spoken,_written_or_signed', 'Q1860_English'], ['Q152452_Gunnar_Myrdal', 'P27_country_of_citizenship', 'Q34_Sweden'], ['Q152452_Gunnar_Myrdal', 'P69_educated_at', 'Q221645_Stockholm_University']]","[['Q9387_Max_Weber', 'P101_field_of_work', 'Q8134_economics'], ['Q9353_John_Locke', 'P106_occupation', 'Q188094_economist']]"
7,"[['Q2736_association_football', 'P3095_practiced_by', 'Q628099_association_football_manager']]","[['Q1124841_PFC_Lokomotiv_Plovdiv', 'P641_sport', 'Q2736_association_football'], ['Q203573_Bursaspor', 'P641_sport', 'Q2736_association_football'], ['Q483020_Paris_Saint-Germain_F.C.', 'P641_sport', 'Q2736_association_football'], ['Q313617_David_Healy', 'P106_occupation', 'Q628099_association_football_manager'], ['Q628099_association_football_manager', 'P425_field_of_this_occupation', 'Q2736_association_football'], ['Q352878_Chris_Waddle', 'P106_occupation', 'Q628099_association_football_manager']]","[['Q1124841_PFC_Lokomotiv_Plovdiv', 'P6364_official_color', 'Q23444_white'], ['Q1124841_PFC_Lokomotiv_Plovdiv', 'P6364_official_color', 'Q23445_black'], ['Q1124841_PFC_Lokomotiv_Plovdiv', 'P159_headquarters_location', 'Q459_Plovdiv'], ['Q6651_Brescia_Calcio', 'P641_sport', 'Q2736_association_football'], ['Q203573_Bursaspor', 'P641_sport', 'Q5372_basketball'], ['Q203573_Bursaspor', 'P17_country', 'Q43_Turkey'], ['Q635654_Lyngby_Boldklub', 'P641_sport', 'Q2736_association_football'], ['Q10520_David_Beckham', 'P54_member_of_sports_team', 'Q483020_Paris_Saint-Germain_F.C.'], ['Q210453_Thiago_Silva', 'P54_member_of_sports_team', 'Q483020_Paris_Saint-Germain_F.C.'], ['Q142794_Neymar', 'P54_member_of_sports_team', 'Q483020_Paris_Saint-Germain_F.C.'], ['Q309480_Ittihad_FC', 'P641_sport', 'Q2736_association_football'], ['Q313617_David_Healy', 'P54_member_of_sports_team', 'Q190978_Northern_Ireland_national_football_team'], ['Q313617_David_Healy', 'P31_instance_of', 'Q5_human'], ['Q313617_David_Healy', 'P54_member_of_sports_team', 'Q18656_Manchester_United_F.C.'], ['Q2358684_Warren_Feeney', 'P106_occupation', 'Q628099_association_football_manager'], [""Q1778362_Michael_O'Neill"", 'P106_occupation', 'Q628099_association_football_manager'], ['Q352878_Chris_Waddle', 'P54_member_of_sports_team', 'Q132885_Olympique_de_Marseille'], ['Q352878_Chris_Waddle', 'P54_member_of_sports_team', 'Q48879_Bradford_City_A.F.C.'], ['Q352878_Chris_Waddle', 'P54_member_of_sports_team', 'Q219241_Falkirk_F.C.'], ['Q628099_association_football_manager', 'P279_subclass_of', 'Q41583_coach']]","[['Q10520_David_Beckham', 'P641_sport', 'Q2736_association_football'], ['Q210453_Thiago_Silva', 'P641_sport', 'Q2736_association_football'], ['Q142794_Neymar', 'P641_sport', 'Q2736_association_football'], ['Q190978_Northern_Ireland_national_football_team', 'P641_sport', 'Q2736_association_football'], ['Q18656_Manchester_United_F.C.', 'P641_sport', 'Q2736_association_football'], ['Q132885_Olympique_de_Marseille', 'P641_sport', 'Q2736_association_football'], ['Q352878_Chris_Waddle', 'P641_sport', 'Q2736_association_football'], ['Q48879_Bradford_City_A.F.C.', 'P641_sport', 'Q2736_association_football']]"
8,"[['Q41466_ice_hockey', 'P3095_practiced_by', 'Q1317534_goaltender']]","[['Q748294_Hamilton_Bulldogs', 'P641_sport', 'Q41466_ice_hockey'], ['Q244039_Atlanta_Thrashers', 'P641_sport', 'Q41466_ice_hockey'], ['Q203384_Toronto_Maple_Leafs', 'P641_sport', 'Q41466_ice_hockey'], ['Q1317534_goaltender', 'P641_sport', 'Q41466_ice_hockey']]","[['Q748294_Hamilton_Bulldogs', 'P118_league', 'Q464995_American_Hockey_League'], ['Q209636_Chicago_Blackhawks', 'P641_sport', 'Q41466_ice_hockey'], ['Q440283_Dany_Heatley', 'P647_drafted_by', 'Q244039_Atlanta_Thrashers'], ['Q440283_Dany_Heatley', 'P54_member_of_sports_team', 'Q244039_Atlanta_Thrashers'], ['Q244039_Atlanta_Thrashers', 'P17_country', 'Q30_United_States_of_America'], ['Q203384_Toronto_Maple_Leafs', 'P641_sport', 'Q5372_basketball'], ['Q203384_Toronto_Maple_Leafs', 'P17_country', 'Q16_Canada'], ['Q205973_Edmonton_Oilers', 'P641_sport', 'Q41466_ice_hockey']]","[['Q464995_American_Hockey_League', 'P641_sport', 'Q41466_ice_hockey']]"
9,"[['Q42240_research', 'P3095_practiced_by', 'Q1650915_researcher']]","[['Q11030_journalism', 'P527_has_part', 'Q42240_research'], ['Q1650915_researcher', 'P425_field_of_this_occupation', 'Q42240_research'], ['Q42240_research', 'P361_part_of', 'Q336_science'], ['Q17714_Stephen_Hawking', 'P106_occupation', 'Q1650915_researcher'], ['Q47426_Milton_Friedman', 'P106_occupation', 'Q1650915_researcher']]","[['Q13973_MSNBC', 'P452_industry', 'Q11030_journalism'], ['Q9684_The_New_York_Times', 'P452_industry', 'Q11030_journalism'], ['Q9531_BBC', 'P452_industry', 'Q11030_journalism'], ['Q901_scientist', 'P425_field_of_this_occupation', 'Q336_science'], ['Q336_science', 'P3095_practiced_by', 'Q901_scientist'], ['Q17714_Stephen_Hawking', 'P737_influenced_by', 'Q81244_Karl_Popper'], ['Q17714_Stephen_Hawking', 'P69_educated_at', 'Q81087_University_College'], ['Q17714_Stephen_Hawking', 'P1066_student_of', 'Q284336_Dennis_W._Sciama'], ['Q901_scientist', 'P279_subclass_of', 'Q1650915_researcher'], ['Q47426_Milton_Friedman', 'P463_member_of', 'Q466089_American_Philosophical_Society'], ['Q47426_Milton_Friedman', 'P106_occupation', 'Q36180_writer'], ['Q47426_Milton_Friedman', 'P69_educated_at', 'Q131252_University_of_Chicago']]","[['Q901_scientist', 'P460_said_to_be_the_same_as', 'Q1650915_researcher']]"
